,time,metric_name,metric_value,date,year
319290,2018-01-16 00:00:00-05:00,google.meet:num_calls_unknown_client,0,2018-01-16,2018
319291,2018-01-16 00:00:00-05:00,google.meet:num_calls_web,0,2018-01-16,2018
319292,2018-01-16 00:00:00-05:00,google.meet:num_meetings,0,2018-01-16,2018
319293,2018-01-16 00:00:00-05:00,google.meet:num_meetings_android,0,2018-01-16,2018
319294,2018-01-16 00:00:00-05:00,google.meet:num_meetings_chromebase,0,2018-01-16,2018
319295,2018-01-16 00:00:00-05:00,google.meet:num_meetings_chromebox,0,2018-01-16,2018
319296,2018-01-16 00:00:00-05:00,google.meet:num_meetings_ios,0,2018-01-16,2018
319297,2018-01-16 00:00:00-05:00,google.meet:num_meetings_jamboard,0,2018-01-16,2018
319298,2018-01-16 00:00:00-05:00,google.meet:num_meetings_unknown_client,0,2018-01-16,2018
319299,2018-01-16 00:00:00-05:00,google.meet:num_meetings_web,0,2018-01-16,2018
319300,2018-01-16 00:00:00-05:00,google.meet:num_meetings_with_11_to_15_calls,0,2018-01-16,2018
319301,2018-01-16 00:00:00-05:00,google.meet:num_meetings_with_16_to_25_calls,0,2018-01-16,2018
319302,2018-01-16 00:00:00-05:00,google.meet:num_meetings_with_26_to_50_calls,0,2018-01-16,2018
319303,2018-01-16 00:00:00-05:00,google.meet:num_meetings_with_2_calls,0,2018-01-16,2018
319304,2018-01-16 00:00:00-05:00,google.meet:num_meetings_with_3_to_5_calls,0,2018-01-16,2018
319305,2018-01-16 00:00:00-05:00,google.meet:num_meetings_with_6_to_10_calls,0,2018-01-16,2018
319306,2018-01-16 00:00:00-05:00,google.meet:num_meetings_with_external_users,0,2018-01-16,2018
319307,2018-01-16 00:00:00-05:00,google.meet:num_meetings_with_pstn_in_users,0,2018-01-16,2018
319308,2018-01-16 00:00:00-05:00,google.meet:total_call_minutes,0,2018-01-16,2018
319309,2018-01-16 00:00:00-05:00,google.meet:total_call_minutes_android,0,2018-01-16,2018
319310,2018-01-16 00:00:00-05:00,google.meet:total_call_minutes_by_external_users,0,2018-01-16,2018
319311,2018-01-16 00:00:00-05:00,google.meet:total_call_minutes_by_internal_users,0,2018-01-16,2018
