,time,metric_name,metric_value
149,2015-03-24T00:00:00.000-0400,google.device_management:num_7day_total_managed_users,0
150,2015-03-24T00:00:00.000-0400,google.docs:num_1day_active_users,2994
151,2015-03-24T00:00:00.000-0400,google.docs:num_30day_active_users,11748
152,2015-03-24T00:00:00.000-0400,google.docs:num_7day_active_users,7480
153,2015-03-24T00:00:00.000-0400,google.docs:num_docs,1889467
154,2015-03-24T00:00:00.000-0400,google.docs:num_docs_edited,5554
155,2015-03-24T00:00:00.000-0400,google.docs:num_docs_externally_visible,83932
156,2015-03-24T00:00:00.000-0400,google.docs:num_docs_internally_visible,1805579
157,2015-03-24T00:00:00.000-0400,google.docs:num_docs_not_edited_for_12months,1027505
158,2015-03-24T00:00:00.000-0400,google.docs:num_docs_not_edited_for_3months,1610625
159,2015-03-24T00:00:00.000-0400,google.docs:num_docs_not_edited_for_6months,1383567
160,2015-03-24T00:00:00.000-0400,google.docs:num_docs_not_viewed_for_12months,809779
161,2015-03-24T00:00:00.000-0400,google.docs:num_docs_not_viewed_for_3months,1485127
162,2015-03-24T00:00:00.000-0400,google.docs:num_docs_not_viewed_for_6months,1199354
163,2015-03-24T00:00:00.000-0400,google.docs:num_docs_shared_outside_domain,44
164,2015-03-24T00:00:00.000-0400,google.docs:num_docs_viewed,9918
165,2015-03-24T00:00:00.000-0400,google.docs:num_docs_with_visibility_anyone_with_link,78324
166,2015-03-24T00:00:00.000-0400,google.docs:num_docs_with_visibility_people_at_domain,2874
167,2015-03-24T00:00:00.000-0400,google.docs:num_docs_with_visibility_people_at_domain_with_link,26451
168,2015-03-24T00:00:00.000-0400,google.docs:num_docs_with_visibility_private,1776254
169,2015-03-24T00:00:00.000-0400,google.docs:num_docs_with_visibility_public,5564
170,2015-03-24T00:00:00.000-0400,google.docs:num_drawings,2079
171,2015-03-24T00:00:00.000-0400,google.docs:num_drawings_edited,2
172,2015-03-24T00:00:00.000-0400,google.docs:num_drawings_viewed,4
173,2015-03-24T00:00:00.000-0400,google.docs:num_forms,12741
174,2015-03-24T00:00:00.000-0400,google.docs:num_forms_edited,46
175,2015-03-24T00:00:00.000-0400,google.docs:num_forms_viewed,51
176,2015-03-24T00:00:00.000-0400,google.docs:num_presentations,20526
177,2015-03-24T00:00:00.000-0400,google.docs:num_presentations_edited,135
178,2015-03-24T00:00:00.000-0400,google.docs:num_presentations_viewed,230
179,2015-03-24T00:00:00.000-0400,google.docs:num_shared_docs,550303
180,2015-03-24T00:00:00.000-0400,google.docs:num_spreadsheets,150700
181,2015-03-24T00:00:00.000-0400,google.docs:num_spreadsheets_edited,740
182,2015-03-24T00:00:00.000-0400,google.docs:num_spreadsheets_viewed,1877
183,2015-03-24T00:00:00.000-0400,google.docs:num_text_documents,311240
184,2015-03-24T00:00:00.000-0400,google.docs:num_text_documents_edited,1438
185,2015-03-24T00:00:00.000-0400,google.docs:num_text_documents_viewed,2372
186,2015-03-24T00:00:00.000-0400,google.docs:num_uploaded_files,1391964
187,2015-03-24T00:00:00.000-0400,google.docs:num_uploaded_files_edited,3193
188,2015-03-24T00:00:00.000-0400,google.docs:num_uploaded_files_viewed,5384
189,2015-03-24T00:00:00.000-0400,google.gmail:num_1day_active_users,19437
190,2015-03-24T00:00:00.000-0400,google.gmail:num_1day_imap_users,10510
191,2015-03-24T00:00:00.000-0400,google.gmail:num_1day_pop_users,214
192,2015-03-24T00:00:00.000-0400,google.gmail:num_1day_webmail_users,12247
193,2015-03-24T00:00:00.000-0400,google.gmail:num_30day_active_users,24025
194,2015-03-24T00:00:00.000-0400,google.gmail:num_30day_imap_users,12336
195,2015-03-24T00:00:00.000-0400,google.gmail:num_30day_pop_users,264
196,2015-03-24T00:00:00.000-0400,google.gmail:num_30day_webmail_users,21834
197,2015-03-24T00:00:00.000-0400,google.gmail:num_7day_active_users,22364
198,2015-03-24T00:00:00.000-0400,google.gmail:num_7day_imap_users,11519
199,2015-03-24T00:00:00.000-0400,google.gmail:num_7day_pop_users,236
200,2015-03-24T00:00:00.000-0400,google.gmail:num_7day_webmail_users,18324
201,2015-03-24T00:00:00.000-0400,google.gmail:num_emails_exchanged,427165
202,2015-03-24T00:00:00.000-0400,google.gmail:num_emails_received,378195
203,2015-03-24T00:00:00.000-0400,google.gmail:num_emails_sent,48970
204,2015-03-24T00:00:00.000-0400,google.gmail:num_inbound_delivered_emails,213585
205,2015-03-24T00:00:00.000-0400,google.gmail:num_inbound_encrypted_emails,85855
206,2015-03-24T00:00:00.000-0400,google.gmail:num_inbound_non_spam_emails,163005
207,2015-03-24T00:00:00.000-0400,google.gmail:num_inbound_rejected_emails,6
208,2015-03-24T00:00:00.000-0400,google.gmail:num_inbound_rerouted_emails,6143
209,2015-03-24T00:00:00.000-0400,google.gmail:num_inbound_spam_emails,50873
210,2015-03-24T00:00:00.000-0400,google.gmail:num_inbound_unencrypted_emails,128023
211,2015-03-24T00:00:00.000-0400,google.gmail:num_outbound_delivered_emails,0
212,2015-03-24T00:00:00.000-0400,google.gmail:num_outbound_encrypted_emails,23205
213,2015-03-24T00:00:00.000-0400,google.gmail:num_outbound_rejected_emails,1330
214,2015-03-24T00:00:00.000-0400,google.gmail:num_outbound_rerouted_emails,23136
215,2015-03-24T00:00:00.000-0400,google.gmail:num_outbound_unencrypted_emails,15
216,2015-03-24T00:00:00.000-0400,google.gplus:num_1day_active_users,1290
217,2015-03-24T00:00:00.000-0400,google.gplus:num_30day_active_users,6150
218,2015-03-24T00:00:00.000-0400,google.gplus:num_7day_active_users,3454
219,2015-03-24T00:00:00.000-0400,google.gplus:num_video_calls,132
220,2015-03-24T00:00:00.000-0400,google.gplus:num_video_conferences,85
221,2015-03-24T00:00:00.000-0400,google.gplus:total_video_call_minutes,3155
222,2015-03-24T00:00:00.000-0400,google.sites:num_sites,9105
223,2015-03-24T00:00:00.000-0400,google.sites:num_sites_created,1
224,2015-03-25T00:00:00.000-0400,google.accounts:drive_used_quota_in_mb,9685497
225,2015-03-25T00:00:00.000-0400,google.accounts:gmail_used_quota_in_mb,29267718
226,2015-03-25T00:00:00.000-0400,google.accounts:gplus_photos_used_quota_in_mb,660152
227,2015-03-25T00:00:00.000-0400,google.accounts:num_1day_logins,16502
228,2015-03-25T00:00:00.000-0400,google.accounts:num_30day_logins,24086
229,2015-03-25T00:00:00.000-0400,google.accounts:num_7day_logins,21530
230,2015-03-25T00:00:00.000-0400,google.accounts:num_authorized_apps,2408
231,2015-03-25T00:00:00.000-0400,google.accounts:num_delegated_admins,25
232,2015-03-25T00:00:00.000-0400,google.accounts:num_disabled_accounts,34112
233,2015-03-25T00:00:00.000-0400,google.accounts:num_locked_users,0
234,2015-03-25T00:00:00.000-0400,google.accounts:num_super_admins,11
235,2015-03-25T00:00:00.000-0400,google.accounts:num_suspended_users,34112
236,2015-03-25T00:00:00.000-0400,google.accounts:num_users,64115
237,2015-03-25T00:00:00.000-0400,google.accounts:num_users_2sv_enforced,0
238,2015-03-25T00:00:00.000-0400,google.accounts:num_users_2sv_enrolled,0
239,2015-03-25T00:00:00.000-0400,google.accounts:num_users_2sv_enrolled_and_enforced,0
240,2015-03-25T00:00:00.000-0400,google.accounts:num_users_2sv_not_enforced,64115
241,2015-03-25T00:00:00.000-0400,google.accounts:num_users_2sv_not_enrolled,64115
242,2015-03-25T00:00:00.000-0400,google.accounts:num_users_2sv_not_enrolled_and_not_enforced,64115
243,2015-03-25T00:00:00.000-0400,google.accounts:num_users_2sv_not_enrolled_but_enforced,0
244,2015-03-25T00:00:00.000-0400,google.accounts:num_users_used_quota_lt_50percent,0
245,2015-03-25T00:00:00.000-0400,google.accounts:total_quota_in_mb,-64115
246,2015-03-25T00:00:00.000-0400,google.accounts:used_quota_in_mb,39620076
247,2015-03-25T00:00:00.000-0400,google.calendar:num_1day_active_users,2190
248,2015-03-25T00:00:00.000-0400,google.calendar:num_30day_active_users,6345
249,2015-03-25T00:00:00.000-0400,google.calendar:num_7day_active_users,4067
250,2015-03-25T00:00:00.000-0400,google.device_management:num_1day_google_sync_managed_devices,0
251,2015-03-25T00:00:00.000-0400,google.device_management:num_1day_google_sync_managed_users,0
252,2015-03-25T00:00:00.000-0400,google.device_management:num_1day_total_managed_devices,0
253,2015-03-25T00:00:00.000-0400,google.device_management:num_1day_total_managed_users,0
254,2015-03-25T00:00:00.000-0400,google.device_management:num_30day_google_sync_managed_devices,0
255,2015-03-25T00:00:00.000-0400,google.device_management:num_30day_google_sync_managed_users,0
256,2015-03-25T00:00:00.000-0400,google.device_management:num_30day_total_managed_devices,0
257,2015-03-25T00:00:00.000-0400,google.device_management:num_30day_total_managed_users,0
258,2015-03-25T00:00:00.000-0400,google.device_management:num_7day_google_sync_managed_devices,0
259,2015-03-25T00:00:00.000-0400,google.device_management:num_7day_google_sync_managed_users,0
260,2015-03-25T00:00:00.000-0400,google.device_management:num_7day_total_managed_devices,0
261,2015-03-25T00:00:00.000-0400,google.device_management:num_7day_total_managed_users,0
262,2015-03-25T00:00:00.000-0400,google.docs:num_1day_active_users,3083
263,2015-03-25T00:00:00.000-0400,google.docs:num_30day_active_users,11747
264,2015-03-25T00:00:00.000-0400,google.docs:num_7day_active_users,7468
265,2015-03-25T00:00:00.000-0400,google.docs:num_docs,1899985
266,2015-03-25T00:00:00.000-0400,google.docs:num_docs_edited,7178
267,2015-03-25T00:00:00.000-0400,google.docs:num_docs_externally_visible,84246
268,2015-03-25T00:00:00.000-0400,google.docs:num_docs_internally_visible,1815783
269,2015-03-25T00:00:00.000-0400,google.docs:num_docs_not_edited_for_12months,1031157
270,2015-03-25T00:00:00.000-0400,google.docs:num_docs_not_edited_for_3months,1613176
271,2015-03-25T00:00:00.000-0400,google.docs:num_docs_not_edited_for_6months,1388920
272,2015-03-25T00:00:00.000-0400,google.docs:num_docs_not_viewed_for_12months,810481
273,2015-03-25T00:00:00.000-0400,google.docs:num_docs_not_viewed_for_3months,1484887
274,2015-03-25T00:00:00.000-0400,google.docs:num_docs_not_viewed_for_6months,1203530
275,2015-03-25T00:00:00.000-0400,google.docs:num_docs_shared_outside_domain,44
276,2015-03-25T00:00:00.000-0400,google.docs:num_docs_viewed,14113
277,2015-03-25T00:00:00.000-0400,google.docs:num_docs_with_visibility_anyone_with_link,78631
278,2015-03-25T00:00:00.000-0400,google.docs:num_docs_with_visibility_people_at_domain,2878
279,2015-03-25T00:00:00.000-0400,google.docs:num_docs_with_visibility_people_at_domain_with_link,26493
280,2015-03-25T00:00:00.000-0400,google.docs:num_docs_with_visibility_private,1786412
281,2015-03-25T00:00:00.000-0400,google.docs:num_docs_with_visibility_public,5571
282,2015-03-25T00:00:00.000-0400,google.docs:num_drawings,2084
283,2015-03-25T00:00:00.000-0400,google.docs:num_drawings_edited,6
284,2015-03-25T00:00:00.000-0400,google.docs:num_drawings_viewed,7
285,2015-03-25T00:00:00.000-0400,google.docs:num_forms,12761
286,2015-03-25T00:00:00.000-0400,google.docs:num_forms_edited,45
287,2015-03-25T00:00:00.000-0400,google.docs:num_forms_viewed,47
288,2015-03-25T00:00:00.000-0400,google.docs:num_presentations,20603
289,2015-03-25T00:00:00.000-0400,google.docs:num_presentations_edited,167
290,2015-03-25T00:00:00.000-0400,google.docs:num_presentations_viewed,251
291,2015-03-25T00:00:00.000-0400,google.docs:num_shared_docs,557014
292,2015-03-25T00:00:00.000-0400,google.docs:num_spreadsheets,152323
293,2015-03-25T00:00:00.000-0400,google.docs:num_spreadsheets_edited,740
294,2015-03-25T00:00:00.000-0400,google.docs:num_spreadsheets_viewed,2256
295,2015-03-25T00:00:00.000-0400,google.docs:num_text_documents,311953
296,2015-03-25T00:00:00.000-0400,google.docs:num_text_documents_edited,1565
297,2015-03-25T00:00:00.000-0400,google.docs:num_text_documents_viewed,2559
298,2015-03-25T00:00:00.000-0400,google.docs:num_uploaded_files,1400044
299,2015-03-25T00:00:00.000-0400,google.docs:num_uploaded_files_edited,4655
300,2015-03-25T00:00:00.000-0400,google.docs:num_uploaded_files_viewed,8993
301,2015-03-25T00:00:00.000-0400,google.gmail:num_1day_active_users,19520
302,2015-03-25T00:00:00.000-0400,google.gmail:num_1day_imap_users,10453
303,2015-03-25T00:00:00.000-0400,google.gmail:num_1day_pop_users,212
304,2015-03-25T00:00:00.000-0400,google.gmail:num_1day_webmail_users,12158
305,2015-03-25T00:00:00.000-0400,google.gmail:num_30day_active_users,24045
306,2015-03-25T00:00:00.000-0400,google.gmail:num_30day_imap_users,12357
307,2015-03-25T00:00:00.000-0400,google.gmail:num_30day_pop_users,262
308,2015-03-25T00:00:00.000-0400,google.gmail:num_30day_webmail_users,21862
309,2015-03-25T00:00:00.000-0400,google.gmail:num_7day_active_users,22383
310,2015-03-25T00:00:00.000-0400,google.gmail:num_7day_imap_users,11527
311,2015-03-25T00:00:00.000-0400,google.gmail:num_7day_pop_users,236
312,2015-03-25T00:00:00.000-0400,google.gmail:num_7day_webmail_users,18397
313,2015-03-25T00:00:00.000-0400,google.gmail:num_emails_exchanged,472306
314,2015-03-25T00:00:00.000-0400,google.gmail:num_emails_received,423666
315,2015-03-25T00:00:00.000-0400,google.gmail:num_emails_sent,48640
