time,google.accounts:drive_used_quota_in_mb,google.accounts:gmail_used_quota_in_mb,google.accounts:gplus_photos_used_quota_in_mb
2015-12-16,23890431.451537535,51795851.704065025,899133.0565125648
2015-12-17,23949784.703481358,51799219.41643584,900185.255960638
2015-12-18,24011823.374508686,51787746.161231086,900569.462287474
2015-12-19,24058430.94365896,51774838.6895612,901294.3349601728
2015-12-20,24102441.806411676,51774675.34562201,902274.9352352591
2015-12-21,24160446.892005876,51786489.186483525,903161.018914851
2015-12-22,24224418.545945458,51804579.82205106,904082.5872751768
2015-12-23,24291839.11998263,51818922.21180727,905189.2516215314
2015-12-24,24358535.031867176,51817598.25046494,906150.52148221
2015-12-25,24424951.011424348,51802763.3622558,906413.0113902793
2015-12-26,24472602.322396275,51787910.813310444,906997.2271828185
2015-12-27,24514528.721258488,51787275.32736579,907820.2931526212
2015-12-28,24567667.95573086,51800072.1917103,908532.082394783
2015-12-29,24624033.756393548,51820537.84279365,909267.7438913059
2015-12-30,24681309.844389856,51838542.02976094,910182.6089471993
2015-12-31,24735563.63700762,51842028.68263008,910947.6753278022
2016-01-01,24787607.928507227,51833030.22897518,911009.14746431
2016-01-02,24819078.12580397,51824928.124890946,911401.9721660593
2016-01-04,24878991.71378349,51852776.671812825,912596.1645304696
2016-01-05,24917446.168076888,51881802.072917916,913189.3642267293
2016-01-06,24957125.556033406,51908566.144189335,913987.4463591949
2016-01-07,24994480.700472187,51920800.78600506,914661.593638495
2016-01-09,25047677.18138812,51920552.28478687,915015.5373705231
2016-01-10,25059474.772988502,51935343.8103122,915663.2387610109
2016-01-11,25084348.01071368,51963668.09443646,916246.7294149407
2016-01-12,25114755.485316146,51999455.517207794,916907.3593200567
2016-01-13,25148933.730179884,52032271.11480275,917805.7192234806
2016-01-14,25183372.720630627,52049775.32502031,918607.63397504
2016-01-15,25219360.3837182,52053832.43741219,918748.5453450248
2016-01-16,25282588.37694422,52057707.55944186,919181.4692411388
2016-01-17,25343001.858332954,52075544.98212361,919922.0775289796
2016-01-18,25419006.1552156,52106325.37322814,920610.3844593482
2016-01-19,25502772.65544413,52144047.370148286,921383.7090929901
2016-01-20,25592290.395531513,52178348.44729484,922398.4837764576
2016-01-21,25683708.21982071,52196968.28248503,923312.0196807305
2016-01-22,25778050.02221149,52201897.028257735,923549.5572439516
2016-01-23,25855895.21116389,52206611.88787677,924167.0842467124
2016-01-24,25931602.659390774,52225364.78965004,925075.1947533332
2016-01-25,26023737.154379174,52257247.56822207,925906.5567016489
2016-01-26,26123928.82292711,52296344.86372523,926795.9768476412
2016-01-27,26229797.484272677,52332352.644997075,927898.3179286767
2016-01-28,26337096.41034846,52353044.83441066,928866.048377149
2016-01-29,26446611.796107616,52360463.078799315,929118.6103012266
2016-01-30,26538181.028068133,52368143.55018444,929720.7586304554
2016-01-31,26626349.515194703,52390373.88096504,930583.3456364055
2016-02-01,26730012.419852056,52426214.23233641,931338.0203304448
2016-02-02,26840464.923858464,52469678.64579883,932123.7222710775
2016-02-03,26955191.838558737,52510356.712883554,933100.5270616538
2016-02-04,27069804.97688477,52535889.271777906,933922.7926892277
2016-02-05,27185118.639797434,52548205.63003006,934010.6554199624
2016-02-06,27280497.509739004,52560746.49134967,934443.7035840523
2016-02-07,27370938.466139667,52587695.81256543,935138.5096989062
2016-02-08,27475920.214280315,52627962.99583033,935730.3972614874
2016-02-09,27586637.73331672,52675397.332669966,936366.2173791388
2016-02-10,27700651.386695463,52719416.70860579,937213.9993091959
2016-02-11,27813613.198453218,52747495.37469608,937931.5966824024
2016-02-12,27926514.80567495,52761450.63252124,937940.2442475252
2016-02-13,28018362.65248087,52774662.82723194,938333.5312498056
2016-02-14,28104683.718398064,52801281.9507136,939031.6796197615
2016-02-15,28205583.211595774,52840169.6548706,939670.4107132301
2016-02-16,28312164.549338795,52885144.38161825,940400.0710533937
2016-02-17,28422040.41177398,52925613.64949618,941391.1866404276
2016-02-18,28530851.333246723,52949069.49139868,942298.7380189147
2016-02-19,28639690.345879372,52957419.35830074,942537.9339883681
2016-02-20,28727110.337127686,52964197.248379685,943208.6639844365
2016-02-21,28809058.99888531,52983738.610744245,944226.7204774367
2016-02-22,28906150.13470701,53015075.40792494,945219.9774060644
2016-02-23,29009274.75790735,53052205.03552012,946334.0848051962
2016-02-24,29115979.50724143,53084719.37855351,947734.1488240187
