time,google.accounts:num_users,google.accounts:num_disabled_accounts,google.accounts:num_suspended_users
2016-01-25,75455.42906933473,44081.54347283482,44062.81632062161
2016-01-26,75487.34124897922,44193.78115263164,44175.38455728646
2016-01-27,75509.11388867565,44292.695687236075,44274.71925613734
2016-01-28,75529.51314220435,44439.3437523156,44421.321674486986
2016-01-29,75548.76854196178,44521.28897749987,44503.75303875278
2016-01-30,75554.63423287691,44604.79498676715,44587.44098852973
2016-01-31,75563.44803008875,44686.30978806896,44668.64748399969
2016-02-01,75594.7302353148,44765.96468688194,44748.17004351339
2016-02-02,75630.86024866591,44852.876394192324,44835.02123948536
2016-02-03,75657.70597970729,44924.839801496426,44907.06710088411
2016-02-04,75683.93729524274,45044.36692093841,45026.269532541286
2016-02-05,75709.64923637867,45098.06512401472,45080.22837760291
2016-02-06,75722.41687642988,45153.69404855704,45135.867684834564
2016-02-07,75738.46806051007,45208.19491466833,45189.93856214374
2016-02-08,75777.21890252376,45262.19673736024,45243.74371092516
2016-02-09,75820.84751657514,45325.38100632691,45306.857816539654
2016-02-10,75855.03591018694,45375.6142841916,45357.21192327025
2016-02-11,75888.33873401422,45476.569032736996,45457.927207309425
2016-02-12,75920.72660606848,45513.53673677325,45495.27623499309
2016-02-13,75939.6336416015,45555.36012519539,45537.2606594883
2016-02-14,75961.2421094545,45599.01974233534,45580.6615007244
2016-02-15,76004.95209318154,45645.16032995165,45626.79998607128
2016-02-16,76052.84915805038,45703.5311464034,45685.312026288644
2016-02-17,76090.55497814895,45751.571314934416,45733.69159325458
2016-02-18,76126.64719496327,45853.62499807099,45835.72838923532
2016-02-19,76161.11834295053,45893.2011024371,45875.90005162459
2016-02-20,76181.41137344188,45939.79147134449,45922.85196391449
2016-02-21,76203.81152251916,45990.02409447734,45973.004343758024
2016-02-22,76247.84554852864,46044.21757236892,46027.35727295282
2016-02-23,76295.63900469427,46111.90336799653,46095.32549325004
2016-02-24,76332.87165943305,46169.86847521197,46153.745271184
2016-02-25,76368.24503127474,46282.967734547776,46266.91864605611
2016-02-26,76401.85409399464,46332.83113018432,46317.43745940788
2016-02-27,76421.2086667147,46389.567225511375,46374.56440010207
2016-02-28,76442.73112084578,46449.48062994103,46434.39435317213
2016-02-29,76486.08461460948,46512.65064028238,46497.699537422246
2016-03-01,76533.42019789845,46588.53015943355,46573.81917461572
2016-03-02,76570.4380462529,46653.43925538307,46639.12323071666
2016-03-03,76605.90444944685,46772.967244637475,46758.655692881606
2016-03-04,76639.93876985618,46827.11950120105,46813.38217785332
2016-03-05,76660.02378654364,46886.89759725125,46873.46352267626
2016-03-06,76682.61284174422,46948.572283786474,46934.96251989748
2016-03-07,76727.39106807983,47012.2776090582,46998.720355183104
2016-03-08,76776.41658662313,47087.67808675702,47074.29265117509
2016-03-09,76815.29194236848,47150.90523261938,47137.86212025946
2016-03-10,76852.73491859715,47268.54220755839,47255.4736416345
2016-03-11,76888.78496247549,47319.20380933943,47306.69913005284
2016-03-12,76910.80640119564,47374.98801038909,47362.798406636
2016-03-13,76935.20852121564,47432.30027455664,47419.96721588853
2016-03-14,76985.00011969519,47395.799083826336,47383.93269973199
2016-03-15,77038.75685251977,47371.17351720801,47359.92574543349
2016-03-16,77081.97145479052,47334.49083501493,47324.05893277632
2016-03-17,77123.32659335852,47352.87087056282,47342.919447557986
2016-03-18,77162.81886758677,47304.409625147775,47295.54034628284
2016-03-19,77187.75114392517,47261.7660061295,47253.74662568946
2016-03-20,77214.57393478398,47221.40405043775,47213.788915488345
2016-03-21,77263.01345908815,47183.691954178714,47176.747538687756
2016-03-22,77314.98720949881,47158.564893382885,47152.44384429063
2016-03-23,77356.00509553865,47122.132609053,47117.022100102535
2016-03-24,77394.85555342637,47141.404321662594,47136.96694002002
2016-03-25,77431.63474995748,47094.6123535631,47091.41636427298
2016-03-26,77453.72498757206,47054.25677058011,47052.04650857513
2016-03-27,77477.75529174451,47016.73552466638,47015.036399060235
2016-03-28,77523.65035609111,46982.333392426255,46981.37771571986
2016-03-29,77573.42236994195,46960.88066626901,46960.7854154797
2016-03-30,77612.68868752236,46928.42648212163,46929.33561359265
2016-03-31,77650.41068310295,46951.790341957116,46953.33559002274
2016-04-01,77686.8250726958,46909.28742105626,46911.98007909296
2016-04-02,77709.40603541966,46873.23186398613,46876.7753578558
2016-04-03,77734.94347211593,46839.95469640264,46843.8347577863
2016-04-04,77783.51217695327,46809.68165401432,46814.09293745233
2016-04-05,77837.14018327829,46792.18591448618,46797.21377574712
2016-04-06,77881.4441425873,46763.52460684181,46769.281480379344
2016-04-07,77925.42301684771,46790.413749143874,46796.519755531845
2016-04-08,77969.2944730401,46751.35153139618,46758.28746797371
2016-04-09,78000.44446786861,46718.576168247564,46726.037760107094
2016-04-10,78035.6276211257,46688.46723005701,46695.93978392372
2016-04-11,78094.86163643461,46661.30790055136,46668.99285394093
2016-04-12,78159.97763119139,46646.92731624705,46654.927032148036
2016-04-13,78216.37898357533,46621.49598919568,46629.94307606643
2016-04-14,78272.8957514581,46651.720184897684,46660.27670290796
2016-04-15,78329.53199318924,46616.35961662027,46625.530009878974
2016-04-16,78373.40846472244,46587.63680421674,46597.162536656266
2016-04-17,78421.09038793914,46562.01937348693,46571.436780088654
2016-04-18,78492.41187591261,46539.86495828408,46549.43048642468
2016-04-19,78568.91233470482,46531.0520766808,46540.92893309132
2016-04-20,78635.72207317148,46511.834135268706,46522.21349095258
2016-04-21,78701.47984600559,46548.85365863689,46559.47153030955
2016-04-22,78765.9925212593,46521.055532607985,46532.464890817646
2016-04-23,78816.17128034768,46500.54969581822,46512.554897532944
2016-04-24,78868.48611738441,46483.77686746159,46495.974308667675
2016-04-25,78942.7185557693,46471.03911497009,46483.740969939485
2016-04-26,79020.28139415974,46472.122762257524,46485.545494232676
2016-04-27,79086.22740052841,46463.21484655012,46477.592513201875
2016-04-28,79149.2254408038,46510.74133857801,46525.86056140152
2016-04-29,79209.1272103215,46493.68022875696,46510.112074695215
2016-04-30,79252.89104709796,46483.88188437974,46501.45686040242
2016-05-01,79297.15682122602,46477.62246170582,46495.95488019899
2016-05-02,79361.92031965015,46475.02420589374,46494.435454095394
2016-05-03,79424.34241636227,46539.084101735585,46556.93149802374
2016-05-04,79474.03339770393,46592.448080276976,46608.95596104154
2016-05-05,79519.92510496182,46701.45361851518,46716.394720640594
2016-05-06,79562.12292877419,46744.70926447867,46758.630947973325
2016-05-07,79587.81544052165,46793.98121434633,46806.68765401781
2016-05-08,79613.95449476846,46845.39385579939,46856.46571100883
2016-05-09,79660.84954246033,46898.94466975933,46908.66825741414
2016-05-10,79710.2554103569,46964.19233980599,46972.746353310635
2016-05-11,79747.60182337786,47016.91359641469,47024.48671837678
2016-05-12,79782.06126037987,47123.82203180816,47130.13228074772
2016-05-13,79813.9316578205,47162.69578615465,47168.26864940988
2016-05-14,79830.53151422928,47205.776261835934,47210.37382002801
2016-05-15,79848.98200060932,47249.19771511215,47252.359880772354
2016-05-16,79889.73311954067,47293.02668148885,47295.00615095566
2016-05-17,79934.54611103759,47346.98683569418,47347.92912772918
2016-05-18,79968.826767481,47386.83044650937,47386.90046823687
2016-05-19,80001.74314581476,47479.872698306295,47478.750794840846
2016-05-20,80033.52893751033,47503.28397691988,47501.49520196365
2016-05-21,80051.37077088737,47529.9959581557,47527.28525393742
2016-05-22,80072.29915182284,47556.35557081982,47552.24962073368
2016-05-23,80116.65320286776,47582.68445294693,47577.43140897314
2016-05-24,80165.96415842115,47619.03634809751,47612.778167193675
2016-05-25,80205.39848890505,47641.27932380796,47634.18627680611
2016-05-26,80243.93087765234,47717.44220165248,47709.184656506244
2016-05-27,80281.57291229653,47724.16856638597,47715.29649590343
2016-05-28,80305.25636359397,47735.12793717069,47725.39134799461
2016-05-29,80331.83576012791,47746.89244759809,47735.82315683392
2016-05-30,80381.4934652352,47760.0153561482,47747.870939275024
2016-05-31,80435.52493193604,47784.82070818062,47771.748727546925
2016-06-01,80478.89120853078,47797.19676890746,47783.37697906928
2016-06-02,80520.4456739432,47865.75573692897,47850.84751913029
2016-06-03,80560.08551582928,47866.45136511056,47851.023553961146
2016-06-04,80584.62750122456,47873.497793033865,47857.29459574245
