time,TotalCallMinutes
2019-03-21T00:00:00.000-0400,4038
2019-03-22T00:00:00.000-0400,1753
2019-03-23T00:00:00.000-0400,873
2019-03-24T00:00:00.000-0400,2283
2019-03-25T00:00:00.000-0400,1622
2019-03-26T00:00:00.000-0400,5708
2019-03-27T00:00:00.000-0400,7274
2019-03-28T00:00:00.000-0400,2363
2019-03-29T00:00:00.000-0400,1338
2019-03-30T00:00:00.000-0400,1179
2019-03-31T00:00:00.000-0400,2548
2019-04-01T00:00:00.000-0400,2029
2019-04-02T00:00:00.000-0400,3944
2019-04-03T00:00:00.000-0400,4164
2019-04-04T00:00:00.000-0400,2515
2019-04-05T00:00:00.000-0400,1020
2019-04-06T00:00:00.000-0400,219
2019-04-07T00:00:00.000-0400,1809
2019-04-08T00:00:00.000-0400,2536
2019-04-09T00:00:00.000-0400,4399
2019-04-10T00:00:00.000-0400,2506
2019-04-11T00:00:00.000-0400,3273
2019-04-12T00:00:00.000-0400,1953
2019-04-13T00:00:00.000-0400,1250
2019-04-14T00:00:00.000-0400,883
2019-04-15T00:00:00.000-0400,2108
2019-04-16T00:00:00.000-0400,3447
2019-04-17T00:00:00.000-0400,3321
2019-04-18T00:00:00.000-0400,1326
2019-04-19T00:00:00.000-0400,367
2019-04-20T00:00:00.000-0400,312
2019-04-21T00:00:00.000-0400,2941
2019-04-22T00:00:00.000-0400,3286
2019-04-23T00:00:00.000-0400,1871
2019-04-24T00:00:00.000-0400,3517
2019-04-25T00:00:00.000-0400,2547
2019-04-26T00:00:00.000-0400,1365
2019-04-27T00:00:00.000-0400,370
2019-04-28T00:00:00.000-0400,919
2019-04-29T00:00:00.000-0400,2201
2019-04-30T00:00:00.000-0400,1871
2019-05-01T00:00:00.000-0400,1597
2019-05-02T00:00:00.000-0400,845
2019-05-03T00:00:00.000-0400,2219
2019-05-04T00:00:00.000-0400,472
2019-05-05T00:00:00.000-0400,142
2019-05-06T00:00:00.000-0400,588
2019-05-07T00:00:00.000-0400,1524
2019-05-08T00:00:00.000-0400,676
2019-05-09T00:00:00.000-0400,3838
2019-05-10T00:00:00.000-0400,4882
2019-05-11T00:00:00.000-0400,232
2019-05-12T00:00:00.000-0400,118
2019-05-13T00:00:00.000-0400,1176
2019-05-14T00:00:00.000-0400,531
2019-05-15T00:00:00.000-0400,842
2019-05-16T00:00:00.000-0400,2119
2019-05-17T00:00:00.000-0400,1268
2019-05-18T00:00:00.000-0400,0
2019-05-19T00:00:00.000-0400,283
2019-05-20T00:00:00.000-0400,1667
2019-05-21T00:00:00.000-0400,2900
2019-05-22T00:00:00.000-0400,2073
2019-05-23T00:00:00.000-0400,2157
2019-06-04T00:00:00.000-0400,
2019-06-05T00:00:00.000-0400,
2019-06-06T00:00:00.000-0400,2216
2019-06-07T00:00:00.000-0400,2087
2019-06-08T00:00:00.000-0400,73
2019-06-09T00:00:00.000-0400,1142
2019-06-10T00:00:00.000-0400,4170
2019-06-11T00:00:00.000-0400,2702
2019-06-12T00:00:00.000-0400,1969
2019-06-13T00:00:00.000-0400,3171
2019-06-14T00:00:00.000-0400,953
2019-06-15T00:00:00.000-0400,49
2019-06-16T00:00:00.000-0400,381
2019-06-17T00:00:00.000-0400,2585
2019-06-18T00:00:00.000-0400,1422
2019-06-19T00:00:00.000-0400,2672
2019-06-20T00:00:00.000-0400,902
2019-06-21T00:00:00.000-0400,3840
2019-06-22T00:00:00.000-0400,0
2019-06-23T00:00:00.000-0400,228
2019-06-24T00:00:00.000-0400,1429
2019-06-25T00:00:00.000-0400,895
2019-06-26T00:00:00.000-0400,2299
2019-06-27T00:00:00.000-0400,2461
2019-06-28T00:00:00.000-0400,2355
2019-06-29T00:00:00.000-0400,146
2019-06-30T00:00:00.000-0400,129
2019-07-01T00:00:00.000-0400,7623
2019-07-02T00:00:00.000-0400,2558
2019-07-03T00:00:00.000-0400,1381
2019-07-04T00:00:00.000-0400,112
2019-07-05T00:00:00.000-0400,478
2019-07-06T00:00:00.000-0400,3
2019-07-07T00:00:00.000-0400,87
2019-07-08T00:00:00.000-0400,1034
2019-07-09T00:00:00.000-0400,1834
2019-07-10T00:00:00.000-0400,1023
2019-07-11T00:00:00.000-0400,1908
2019-07-12T00:00:00.000-0400,1071
2019-07-13T00:00:00.000-0400,119
2019-07-14T00:00:00.000-0400,336
2019-07-15T00:00:00.000-0400,1730
2019-07-16T00:00:00.000-0400,1886
2019-07-17T00:00:00.000-0400,1984
2019-07-18T00:00:00.000-0400,2703
2019-07-19T00:00:00.000-0400,4075
2019-07-20T00:00:00.000-0400,179
2019-07-21T00:00:00.000-0400,503
2019-07-22T00:00:00.000-0400,1916
2019-07-23T00:00:00.000-0400,2094
2019-07-25T00:00:00.000-0400,1782
2019-07-26T00:00:00.000-0400,1470
2019-07-27T00:00:00.000-0400,0
2019-07-28T00:00:00.000-0400,0
2019-07-29T00:00:00.000-0400,1430
2019-07-30T00:00:00.000-0400,661
2019-07-31T00:00:00.000-0400,1766
2019-08-02T00:00:00.000-0400,2645
2019-08-03T00:00:00.000-0400,76
2019-08-04T00:00:00.000-0400,39
2019-08-05T00:00:00.000-0400,1435
2019-08-06T00:00:00.000-0400,3491
2019-08-07T00:00:00.000-0400,5472
2019-08-08T00:00:00.000-0400,576
2019-08-09T00:00:00.000-0400,1351
2019-08-10T00:00:00.000-0400,0
2019-08-11T00:00:00.000-0400,0
2019-08-12T00:00:00.000-0400,4985
2019-08-13T00:00:00.000-0400,467
2019-08-14T00:00:00.000-0400,1524
2019-08-15T00:00:00.000-0400,1319
2019-08-16T00:00:00.000-0400,821
2019-08-17T00:00:00.000-0400,0
