,time,num_meetings,num_calls,average_meeting_minutes,num_30day_active_users,total_meeting_minutes,total_call_minutes
770,2020-04-01,26.988882697790967,75.06369828781204,-21.822908063399648,1024.7674015755476,663.0150220605927,4288.084406151515
771,2020-04-02,26.505628217571086,73.98668332508512,-21.868323614329867,1054.2747343948952,624.9384217579737,3886.082005858527
772,2020-04-03,21.885841245953145,61.83606280899501,-22.938936503194224,1085.5694713610362,532.6415838193776,3541.429473138358
773,2020-04-04,9.195798561113195,27.424956902167597,-24.90796075140681,1070.0932975109515,231.86454348930263,1626.7779384003265
774,2020-04-05,12.32965476559528,37.84629044672607,-28.414654961229047,1069.8975470438422,348.3975452102455,2277.3093239048144
775,2020-04-06,23.927933747200466,69.304659314456,-25.005157657252028,1095.6320882852776,572.7636115250879,3874.638167460934
776,2020-04-07,25.651961958282318,70.20239235761107,-22.64808272897187,1071.1503503904853,630.64249042721,4003.1347799860305
777,2020-04-08,25.102687254557726,68.28738329909127,-24.315039271098048,1072.4014309791391,637.5516941167792,3801.537723917063
778,2020-04-09,24.331890357611368,66.32515642762392,-24.452175630590897,1098.275754074997,593.824825433288,3345.5757790350026
779,2020-04-10,19.45774107020275,53.48687575658381,-25.68826708700372,1125.0566202738316,496.78244321772587,2958.108997956764
780,2020-04-11,6.544244101673236,18.65514886706441,-27.88541977210095,1103.8261743398416,193.38487021657707,1006.2383569219464
781,2020-04-12,9.518745169280788,28.5610225036,-31.708974202794412,1097.1860193092486,304.6471827482236,1640.8041265584357
782,2020-04-13,21.012925283500113,59.5389088801979,-28.276629962837415,1115.9351668256709,523.4626879439056,3237.28464981881
783,2020-04-14,22.663852432210042,60.26957860310974,-25.9505729788982,1083.392041989082,577.6066851409053,3370.6582447581204
784,2020-04-15,22.08122460554327,58.342186605354286,-27.83877259322026,1076.2105229603417,581.6878722661028,3183.2505860610045
785,2020-04-16,21.317356097906007,56.49658675788258,-28.103857674261036,1093.3770467669624,536.0033766388825,2750.1535869600016
786,2020-04-17,16.482319652074054,43.94983494481392,-29.49420662934594,1111.1010296861195,437.85153256601967,2394.2829007893342
787,2020-04-18,3.631202518295109,9.629747220396471,-31.855152812274063,1080.1992922143454,135.32511718896305,475.32830187576525
788,2020-04-19,6.718287332110613,19.883312524923433,-35.87422851319966,1063.9099970424743,244.5891522721184,1158.0825684997308
789,2020-04-20,18.36070205114526,51.15526508366618,-32.238831547414215,1073.2575319609953,460.8472397463088,2810.3818681949997
790,2020-04-21,20.166226906432467,52.388511233865906,-29.705074036132494,1031.089493398657,513.9265443408764,2996.5450280284263
791,2020-04-22,19.74907903002562,51.000755525229074,-31.519974476902412,1014.8148477249349,517.5003952234779,2861.487379206892
792,2020-04-23,19.158768618689365,49.69736276555792,-31.567704954524103,1023.5509168878341,471.82025095022664,2478.9602274955064
793,2020-04-24,14.494897293277406,37.736538240652415,-32.723639447243194,1033.4513919209664,374.17002187208806,2171.5399887726
794,2020-04-25,1.8022682704918191,4.0907037512854645,-34.825931952048826,995.0682720245061,73.7987887586746,291.4256507325447
795,2020-04-26,5.061758527606773,14.726270404579054,-38.59588859396337,972.2585526633757,182.0599313188993,1017.595581246845
796,2020-04-27,16.876613305587853,46.20568193955323,-34.30388424208455,976.2358641010435,396.5183507437255,2710.7781503083716
797,2020-04-28,18.826970158110054,47.74498801629778,-31.114568206247707,929.322671390774,449.11428571117983,2925.448614766917
798,2020-04-29,18.53412115897771,46.60467978219407,-32.42952350295202,909.6112175650948,452.65438695501655,2810.18192683012
799,2020-04-30,18.048150969136525,45.47261732325569,-31.870406070449633,916.2614687696531,407.4176518982237,2438.6783993058
800,2020-05-01,13.4622820645255,33.66732815345386,-32.45543500311719,925.2682061830889,310.74818481130086,2134.6442277764286
801,2020-05-02,0.8157113933715143,0.22658202882452363,-34.03080548728044,886.8023454293998,13.124252260093629,244.39113130107404
