day,emails_received
2017/02/02,379297.0
2017/02/03,321333.0
2017/02/04,151485.0
2017/02/05,152470.0
2017/02/06,373522.0
2017/02/07,488584.0
2017/02/08,381703.0
2017/02/09,383953.0
2017/02/10,331708.0
2017/02/11,133615.0
2017/02/12,163269.0
2017/02/13,404686.0
2017/02/14,409524.0
2017/02/15,359069.0
2017/02/16,393238.0
2017/02/17,310477.0
2017/02/18,149613.0
2017/02/19,163573.0
2017/02/20,408440.0
2017/02/21,371767.0
2017/02/22,375816.0
2017/02/23,364453.0
2017/02/24,347420.0
2017/02/25,137543.0
2017/02/26,188105.0
2017/02/27,434373.0
2017/02/28,381243.0
2017/03/01,429283.0
2017/03/02,346321.0
2017/03/03,311383.0
2017/03/04,149545.0
2017/03/06,435080.0
2017/03/07,375185.0
2017/03/08,336919.0
2017/03/09,0.0
2017/03/10,0.0
2017/03/11,0.0
2017/03/12,0.0
2017/03/14,0.0
2017/03/16,295568.0
2017/03/19,273514.0
2017/03/20,449497.0
2017/03/21,429820.0
2017/03/22,370876.0
2017/03/23,381407.0
2017/03/24,277811.0
2017/03/25,134496.0
2017/03/26,145783.0
2017/03/27,393811.0
2017/03/28,389161.0
2017/03/29,366315.0
2017/03/30,364807.0
2017/03/31,297755.0
2017/04/01,137210.0
2017/04/02,157891.0
2017/04/03,407764.0
2017/04/04,412521.0
2017/04/05,379426.0
2017/04/06,392110.0
2017/04/07,313212.0
2017/04/08,130523.0
2017/04/09,158528.0
2017/04/10,416872.0
2017/04/11,369761.0
2017/04/12,391335.0
2017/04/13,428854.0
2017/04/14,173300.0
2017/04/15,142744.0
2017/04/16,139923.0
2017/04/17,409094.0
2017/04/18,399422.0
2017/04/19,390537.0
2017/04/20,421217.0
2017/04/21,320262.0
2017/04/22,140534.0
2017/04/23,192440.0
2017/04/24,460341.0
2017/04/25,390923.0
2017/04/26,437759.0
2017/04/27,428999.0
2017/04/28,304363.0
2017/04/29,149608.0
2017/04/30,179144.0
2017/05/01,415588.0
2017/05/02,348651.0
2017/05/03,474387.0
2017/05/04,331378.0
2017/05/05,289794.0
2017/05/06,133027.0
2017/05/07,142236.0
2017/05/08,330718.0
2017/05/09,350854.0
2017/05/10,349489.0
2017/05/11,288102.0
2017/05/12,236673.0
2017/05/13,115340.0
2017/05/14,124278.0
2017/05/15,242496.0
2017/05/16,248406.0
2017/05/17,272564.0
2017/05/18,258069.0
2017/05/19,224127.0
2017/05/20,111934.0
2017/05/21,118502.0
2017/05/22,255571.0
2017/05/23,261109.0
2017/05/24,275711.0
2017/05/25,267749.0
2017/05/26,234766.0
2017/05/27,109794.0
2017/05/28,128954.0
2017/05/29,153643.0
2017/05/30,260660.0
2017/05/31,261417.0
2017/06/01,297681.0
2017/06/02,223576.0
2017/06/03,107459.0
2017/06/04,122797.0
2017/06/05,240862.0
2017/06/06,240290.0
2017/06/07,252819.0
2017/06/08,246299.0
2017/06/09,203151.0
2017/06/10,116199.0
2017/06/11,132823.0
2017/06/12,233921.0
2017/06/13,279570.0
